Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 2: Area 3592410.4431720003, Perimeter 7582.934
Case 3: Area 3761569.9575059996, Perimeter 7758.01
Case 4: Area 3696891.8491229997, Perimeter 7691.048
Case 5: Area 3435001.02477, Perimeter 7413.554
Case 6: Area 2491861.872045, Perimeter 6388.316000000001
Case 7: Area 3821857.543028, Perimeter 7820.682
Case 8: Area 3838701.743193, Perimeter 7837.972
Case 9: Area 3894286.2268479997, Perimeter 7893.592
Case 10: Area 3667542.18046, Perimeter 7662.742
Case 11: Area 3889092.1795750004, Perimeter 7888.352000000001
Case 12: Area 3293668.836121, Perimeter 7272.244000000001
Case 13: Area 3844114.5163120003, Perimeter 7842.836
Case 14: Area 3618808.9996240004, Perimeter 7611.43
Case 15: Area 3904929.374979, Perimeter 7904.392
Case 16: Area 3742832.54088, Perimeter 7740.534
Case 17: Area 3844364.6489759996, Perimeter 7842.954
Case 18: Area 3582954.7810420003, Perimeter 7572.554
Case 19: Area 3480157.052034, Perimeter 7462.4619999999995
Case 20: Area 2803071.761952, Perimeter 6704.506
Case 21: Area 3816335.918592, Perimeter 7814.816
Case 22: Area 3910000.6753999996, Perimeter 7909.494
Case 23: Area 3669646.7181450007, Perimeter 7662.628000000001
Case 24: Area 3537417.882127, Perimeter 7529.984
Case 25: Area 3428178.471982, Perimeter 7406.546
Case 26: Area 3334474.487712, Perimeter 7312.406
Case 27: Area 3582634.6246249997, Perimeter 7575.78
Case 28: Area 2341330.9052049997, Perimeter 6149.012
Case 29: Area 3831271.986612, Perimeter 7830.386
Case 30: Area 3897341.7809039997, Perimeter 7896.758
Case 31: Area 3919255.1487780004, Perimeter 7918.858
Case 32: Area 3825495.619716, Perimeter 7823.566
Case 33: Area 3675512.0415999996, Perimeter 7668.91
Case 34: Area 3679995.0507440004, Perimeter 7674.252
Case 35: Area 3560062.2628929997, Perimeter 7548.388
Case 36: Area 3867260.2742830003, Perimeter 7866.152
Case 37: Area 3783326.47296, Perimeter 7780.402
Case 38: Area 3877215.564075, Perimeter 7876.312
Case 39: Area 2709789.033006, Perimeter 6608.513999999999
Case 40: Area 3884164.355118, Perimeter 7883.498
Case 41: Area 3463899.76765, Perimeter 7458.674
Case 42: Area 3864682.9885699996, Perimeter 7863.701999999999
Case 43: Area 3748060.628694, Perimeter 7744.502
Case 44: Area 3764596.605105, Perimeter 7761.028
Case 45: Area 3292231.8868890004, Perimeter 7260.332
Case 46: Area 3860617.7578920005, Perimeter 7859.446
Case 47: Area 3852312.8517090003, Perimeter 7851.588
Case 48: Area 3659425.9421139997, Perimeter 7656.43
Case 49: Area 3873526.50192, Perimeter 7872.536
Case 50: Area 3681631.8336199997, Perimeter 7675.146
Case 51: Area 2420123.4446900003, Perimeter 6324.594
Case 52: Area 3838923.42677, Perimeter 7837.9259999999995
Case 53: Area 3752347.2834240003, Perimeter 7749.030000000001
Case 54: Area 3723273.4829780003, Perimeter 7718.3820000000005
Case 55: Area 2978874.428496, Perimeter 6951.494000000001
Case 56: Area 3326730.9884590004, Perimeter 7302.088
Case 57: Area 2509390.7066800003, Perimeter 6374.4980000000005
Case 58: Area 3620858.0418720003, Perimeter 7611.434
Case 59: Area 3841321.318775, Perimeter 7839.888
Case 60: Area 2404438.9349399996, Perimeter 6227.838
Case 61: Area 2030675.269392, Perimeter 5821.036
Case 62: Area 3761359.2403030004, Perimeter 7757.968000000001
Case 63: Area 3750195.876864, Perimeter 7746.64
Case 64: Area 566761.49871, Perimeter 3016.654
Case 65: Area 3915295.0480739996, Perimeter 7914.922
Case 66: Area 3843479.0565600004, Perimeter 7841.954
Case 67: Area 2288973.0045930003, Perimeter 6072.452
Case 68: Area 3622742.7990540005, Perimeter 7614.4580000000005
Case 69: Area 3619996.3320000004, Perimeter 7611.370000000001
Case 70: Area 3942666.68285, Perimeter 7942.518
Case 71: Area 2700364.516962, Perimeter 6581.0740000000005
Case 72: Area 3576331.598169, Perimeter 7564.652
Case 73: Area 3546769.64334, Perimeter 7540.858
Case 74: Area 3739774.223337, Perimeter 7736.276
Case 75: Area 3741640.1334499996, Perimeter 7737.414
Case 76: Area 3929215.4689889997, Perimeter 7928.9
Case 77: Area 3820634.108775, Perimeter 7819.312
Case 78: Area 3936351.2537169997, Perimeter 7936.276
Case 79: Area 3912688.5358050005, Perimeter 7912.3240000000005
Case 80: Area 3770173.649424, Perimeter 7766.8
Case 81: Area 3442774.300992, Perimeter 7422.3240000000005
Case 82: Area 3566827.462851, Perimeter 7555.08
Case 83: Area 3815663.8558610003, Perimeter 7814.124
Case 84: Area 3789335.9736450003, Perimeter 7786.532
Case 85: Area 3954591.6021480006, Perimeter 7954.462
